2019_DIST_ALLR_GRAD,2020_DIST_ALLR_GRAD,2021_DIST_ALLR_GRAD
94.7,94.4,94.9
96.8,96,95.9
90.9,88.2,82.4
93.6,88.9,89.6
93.1,92.1,90
96.4,94.3,92.1
95.5,91.3,92.3
100,95.5,92.3
95.4,97,100
95.4,97,100
100,96.1,100
100,96.1,100
95.6,96.9,96.3
95.6,97.3,97.5
95.6,93.6,94.3
96.3,94.8,97.4
92.1,91.3,97.1
95,94.1,97.8
89.4,92.5,90.7
90.3,93.7,93
71.4,100,94.5
71.4,100,95.6
95.2,94.2,92.3
95.8,96.3,92.3
97.7,100,93.7
97.7,100,95.1
95.5,96.6,97.5
96.8,96.6,97.5
98.3,98.3,97.5
98.3,98.3,97.5
100,100,94
100,100,95.9
100,95.5,100
100,95.5,100
94.3,97.9,100
95.5,97.9,100
97.4,100,96.9
97.4,100,96.9
91.5,95,95.5
92.6,95.5,95.5
98.7,96.9,91.2
98.7,98.4,91.6
100,92,100
100,92,100
97.5,72.4,93.3
98.1,72.4,93.3
73.8,28.6,66.7
73,28.6,66.7
25,81.4,20
33.3,84,20
82.6,97.6,78.8
83.6,97.8,80.4
98.7,99.4,97.6
99.1,100,98.6
97.1,90,95.5
97.6,91.3,95.5
88.3,97.8,89.7
90.3,98.9,92.1
94.6,98.5,98.9
94.6,98.5,98.9
95.5,98.6,97.7
95.5,98.6,97.7
100,100,95.3
100,100,95.3
100,96.1,80
100,97.6,80
97.5,100,97.9
97.5,100,97.9
100,97.8,98
100,97.8,98
90.9,96.8,97.4
90.9,96.8,97.4
94.4,24.3,90.5
94.4,24.3,90.5
29.8,92.3,34.4
31.8,92.3,34.4
90.6,95.3,93.1
93.5,96.2,93.1
97.4,100,95.3
97.9,100,95.3
98.1,95.1,97
98.2,96.7,97
94.9,21.9,92.6
94.9,26.1,92.5
31.1,92.8,83.7
32.4,94.4,84.5
93.4,95.9,23.9
94.5,96.9,26.4
96.8,85.8,93
97.9,87.7,96.3
85.3,97.7,94.8
87,99.6,96
98.9,90.5,91.2
99.8,92.2,92.3
93.3,97,98.6
94.9,97,99.4
96.7,97.3,91.8
98.9,97.7,94.4
95.3,100,95.2
95.4,100,95.2
98.4,95,94.4
100,96.2,94.6
89.9,94.8,98.5
92.5,96,98.5
94.4,96.9,96.6
95.5,100,96.6
96.9,93,93
100,93.9,93.9
94.1,97.4,93.3
96.3,99.1,93.3
96.8,95.1,93.9
96.8,96.8,94
96.8,94.4,88.7
97.2,96.2,89.4
95.3,91.8,91.7
96.7,92.8,93.7
87.4,97.3,95.1
91.2,100,95.9
98.1,96.5,89.7
98.1,98.6,91.2
96.9,,98.3
98.9,,98.3
,,96
,,97.5