City ID,Urban Area
27766,"Erie, PA"
6652,"Bellingham, WA"
6868,"Bend, OR"
7705,"Billings, MT"
7732,"Binghamton, NY"
7786,"Birmingham, AL"
7921,"Bismarck, ND"
8785,"Boise City, ID"
8002,"Blacksburg, VA"
8380,"Bloomington, IN"
8407,"Bloomington--Normal, IL"
10162,"Bridgeport--Stamford, CT"
10351,"Bristol--Bristol, TN"
8974,"Bonita Springs, FL"
95833,"Wilmington, NC"
97291,"Worcester, MA"
17317,"Clarksville, TN"
10972,"Brownsville, TX"
11350,"Buffalo, NY"
11728,"Burlington, NC"
11755,"Burlington, VT"
97939,"Yuba City, CA"
97507,"Yakima, WA"
97561,"Yauco, PR"
97750,"York, PA"
97831,"Youngstown, OH"
18748,"College Station--Bryan, TX"
18856,"Colorado Springs, CO"
18937,"Columbia, MO"
18964,"Columbia, SC"
18451,"Coeur d'Alene, ID"
9271,"Boston, MA"
9298,"Boulder, CO"
9379,"Bowling Green, KY"
12754,"Camarillo, CA"
9946,"Bremerton, WA"
19504,"Concord, CA"
19558,"Concord, NC"
19755,"Conroe--The Woodlands, TX"
19801,"Conway, AR"
19099,"Columbus, GA"
19234,"Columbus, OH"
20287,"Corpus Christi, TX"
20422,"Corvallis, OR"
13375,"Canton, OH"
13510,"Cape Coral, FL"
13591,"Carbondale, IL"
95411,"Williamsburg, VA"
14482,"Casper, WY"
14752,"Cedar Rapids, IA"
15211,"Champaign, IL"
15481,"Charleston, WV"
95077,"Wichita, KS"
95104,"Wichita Falls, TX"
1765,"Alton, IL"
1927,"Amarillo, TX"
1792,"Altoona, PA"
1171,"Albuquerque, NM"
1279,"Alexandria, LA"
15508,"Charleston--North Charleston, SC"
15670,"Charlotte, NC"
15724,"Charlottesville, VA"
15832,"Chattanooga, TN"
16237,"Cheyenne, WY"
16264,"Chicago, IL"
16318,"Chico, CA"
16885,"Cincinnati, OH"
766,"Akron, OH"
22042,"Dallas--Fort Worth--Arlington, TX"
22069,"Dalton, GA"
22096,"Danbury, CT"
22366,"Davenport, IA"
22420,"Davis, CA"
22528,"Dayton, OH"
22690,"Decatur, AL"
22717,"Decatur, IL"
22960,"DeKalb, IL"
23500,"Denton--Lewisville, TX"
23527,"Denver--Aurora, CO"
1495,"Allentown, PA"
970,"Albany--Schenectady, NY"
17668,"Cleveland, OH"
17722,"Cleveland, TN"
631,"Aguadilla--Isabela--San Sebastián, PR"
199,"Aberdeen--Bel Air South--Bel Air North, MD"
280,"Abilene, TX"
901,"Albany, GA"
955,"Albany, OR"
3898,"Atlantic City, NJ"
3358,"Asheville, NC"
23743,"Des Moines, IA"
23311,"Deltona, FL"
24472,"Dothan, AL"
23824,"Detroit, MI"
3763,"Athens-Clarke County, GA"
3817,"Atlanta, GA"
3034,"Arecibo, PR"
2062,"Ames, IA"
2305,"Anchorage, AK"
2386,"Anderson, IN"
2413,"Anderson, SC"
24580,"Dover, DE"
24607,"Dover--Rochester, NH"
24823,"Dubuque, IA"
24850,"Duluth, MN"
25228,"Durham, NC"
2602,"Ann Arbor, MI"
2629,"Anniston--Oxford, AL"
2683,"Antioch, CA"
2764,"Appleton, WI"
4843,"Baltimore, MD"
26038,"Eau Claire, WI"
4033,"Auburn, AL"
4222,"Augusta-Richmond County, GA"
4384,"Austin, TX"
4549,"Avondale--Goodyear, AZ"
4681,"Bakersfield, CA"
27253,"El Paso, TX"
27261,"El Paso de Robles (Paso Robles)--Atascadero, CA"
5167,"Barnstable Town, MA"
26416,"El Centro--Calexico, CA"
26750,"Elizabethtown--Radcliff, KY"
26794,"Elkhart, IN"
27118,"Elmira, NY"
96103,"Winchester, VA"
98020,"Yuma, AZ"
98182,"Zephyrhills, FL"
5680,"Baton Rouge, LA"
5707,"Battle Creek, MI"
5869,"Bay City, MI"
6058,"Beaumont, TX"
96670,"Winston-Salem, NC"
96697,"Winter Haven, FL"
28333,"Evansville, IN"
28549,"Fairbanks, AK"
28657,"Fairfield, CA"
28981,"Fajardo, PR"
28117,"Eugene, OR"
83764,"Spokane, WA"
55981,"Medford, OR"
55738,"Mayagüez, PR"
55333,"Marysville, WA"
55603,"Mauldin--Simpsonville, SC"
56116,"Memphis, TN"
75745,"Rock Hill, SC"
75988,"Rocky Mount, NC"
75340,"Riverside--San Bernardino, CA"
75421,"Roanoke, VA"
81631,"Sherman, TX"
75718,"Rockford, IL"
34759,"Great Falls, MT"
34786,"Greeley, CO"
34813,"Green Bay, WI"
34219,"Grand Forks, ND"
35164,"Greensboro, NC"
35920,"Gulfport, MS"
35380,"Greenville, NC"
35461,"Greenville, SC"
56251,"Merced, CA"
56602,"Miami, FL"
56656,"Michigan City--La Porte, IN"
56926,"Middletown, OH"
80227,"Scranton, PA"
80362,"Seaside--Monterey, CA"
80389,"Seattle, WA"
80400,"Sebastian--Vero Beach South--Florida Ridge, FL"
80416,"Sebring--Avon Park, FL"
83116,"South Bend, IN"
79201,"San Marcos, TX"
35866,"Guayama, PR"
36703,"Hanford, CA"
36784,"Hanover, PA"
36892,"Harlingen, TX"
36190,"Hagerstown, MD"
36514,"Hammond, LA"
62407,"New Haven, CT"
66673,"Oxnard, CA"
66160,"Oshkosh, WI"
65080,"Oklahoma City, OK"
79309,"Santa Clarita, CA"
79336,"Santa Cruz, CA"
79363,"Santa Fe, NM"
79417,"Santa Maria, CA"
79498,"Santa Rosa, CA"
81739,"Shreveport, LA"
81118,"Sheboygan, WI"
79606,"Sarasota--Bradenton, FL"
79633,"Saratoga Springs, NY"
79282,"Santa Barbara, CA"
79768,"Savannah, GA"
38647,"Hickory, NC"
38809,"High Point, NC"
39079,"Hilton Head Island, SC"
39430,"Holland, MI"
65242,"Olympia--Lacey, WA"
65269,"Omaha, NE"
65863,"Orlando, FL"
67105,"Palm Bay--Melbourne, FL"
67134,"Palm Coast--Daytona Beach--Port Orange, FL"
67294,"Panama City, FL"
84024,"Spring Hill, FL"
84493,"State College, PA"
91027,"Waco, TX"
39758,"Homosassa Springs--Beverly Hills--Citrus Springs, FL"
40753,"Huntington, WV"
40780,"Huntsville, AL"
40996,"Idaho Falls, ID"
40375,"Houma, LA"
40429,"Houston, TX"
41347,"Indio--Cathedral City, CA"
67672,"Parkersburg, WV"
68482,"Pensacola, FL"
68509,"Peoria, IL"
91261,"Waldorf, MD"
91783,"Warner Robins, GA"
86302,"Syracuse, NY"
41590,"Iowa City, IA"
41212,"Indianapolis, IN"
42157,"Jackson, MI"
42211,"Jackson, MS"
42265,"Jackson, TN"
42346,"Jacksonville, FL"
42400,"Jacksonville, NC"
42562,"Janesville, WI"
68887,"Petaluma, CA"
69076,"Philadelphia, PA"
69697,"Pittsburgh, PA"
69184,"Phoenix--Mesa, AZ"
86464,"Tallahassee, FL"
86599,"Tampa--St. Petersburg, FL"
87058,"Temple, TX"
87139,"Terre Haute, IN"
87193,"Texarkana--Texarkana, TX"
87220,"Texas City, TX"
87490,"Thousand Oaks, CA"
87868,"Toledo, OH"
43453,"Juana Díaz, PR"
43723,"Kalamazoo, MI"
43885,"Kankakee, IL"
43912,"Kansas City, MO"
43210,"Johnson City, TN"
43345,"Jonesboro, AR"
43399,"Joplin, MO"
70993,"Port Arthur, TX"
70426,"Pocatello, ID"
70642,"Ponce, PR"
71074,"Porterville, CA"
71155,"Port Huron, MI"
71263,"Portland, ME"
71317,"Portland, OR"
71479,"Port St. Lucie, FL"
88948,"Tulsa, OK"
82144,"Simi Valley, CA"
82225,"Sioux City, IA"
82252,"Sioux Falls, SD"
82468,"Slidell, LA"
43669,"Kailua (Honolulu County)--Kaneohe, HI"
44992,"Killeen, TX"
44479,"Kennewick--Pasco, WA"
44506,"Kenosha, WI"
71506,"Portsmouth, NH"
71749,"Pottstown, PA"
71803,"Poughkeepsie--Newburgh, NY"
57007,"Midland, TX"
62677,"New Orleans, LA"
64135,"Norwich--New London, CT"
64567,"Ocala, FL"
88084,"Topeka, KS"
88273,"Tracy, CA"
83332,"South Lyon--Howell, MI"
78229,"Salem, OR"
78310,"Salinas, CA"
78364,"Salisbury, MD"
78499,"Salt Lake City--West Valley City, UT"
78553,"San Angelo, TX"
78580,"San Antonio, TX"
78661,"San Diego, CA"
37081,"Harrisburg, PA"
37162,"Harrisonburg, VA"
37243,"Hartford, CT"
37594,"Hattiesburg, MS"
38215,"Hemet, CA"
64864,"Odessa, TX"
64945,"Ogden--Layton, UT"
66484,"Owensboro, KY"
58006,"Modesto, CA"
78904,"San Francisco--Oakland, CA"
78985,"San Germán--Cabo Rojo--Sabana Grande, PR"
79039,"San Jose, CA"
79093,"San Juan, PR"
89083,"Turlock, CA"
89110,"Tuscaloosa, AL"
89263,"Twin Rivers--Hightstown, NJ"
89326,"Tyler, TX"
89770,"Urban Honolulu, HI"
89785,"Utica, NY"
89866,"Vacaville, CA"
46801,"Lake Jackson--Angleton, TX"
46828,"Lakeland, FL"
46018,"Lafayette, IN"
46045,"Lafayette, LA"
58330,"Monroe, LA"
58600,"Montgomery, AL"
60733,"Murfreesboro, TN"
60799,"Murrieta--Temecula--Menifee, CA"
60841,"Muskegon, MI"
60895,"Myrtle Beach--Socastee, SC"
60976,"Nampa, ID"
93592,"Weirton--Steubenville, WV"
93862,"Wenatchee, WA"
93916,"West Bend, WI"
90028,"Vallejo, CA"
90514,"Victoria, TX"
90541,"Victorville--Hesperia, CA"
47611,"Lancaster--Palmdale, CA"
47530,"Lancaster, PA"
47719,"Lansing, MI"
47854,"Laredo, TX"
47935,"Las Cruces, NM"
47995,"Las Vegas--Henderson, NV"
48232,"Lawrence, KS"
48394,"Lawton, OK"
48664,"Lebanon, PA"
48799,"Leesburg--Eustis--Tavares, FL"
48826,"Lee's Summit, MO"
60490,"Mount Vernon, WA"
60625,"Muncie, IN"
63217,"New York--Newark, NY"
63433,"Norman, OK"
90730,"Vineland, NJ"
90892,"Virginia Beach, VA"
90946,"Visalia, CA"
94294,"Westminster--Eldersburg, MD"
50392,"Little Rock, AR"
50527,"Livermore, CA"
50851,"Lodi, CA"
50959,"Logan, UT"
49582,"Lexington-Fayette, KY"
49852,"Lima, OH"
49933,"Lincoln, NE"
63838,"North Port--Port Charlotte, FL"
61705,"Newark, OH"
61786,"New Bedford, MA"
61057,"Napa, CA"
61165,"Nashua, NH"
61273,"Nashville-Davidson, TN"
94726,"Wheeling, WV"
89974,"Valdosta, GA"
93025,"Wausau, WI"
92242,"Washington, DC"
92485,"Waterbury, CT"
92593,"Waterloo, IA"
92890,"Watsonville, CA"
83926,"Springfield, MA"
83548,"Spartanburg, SC"
83980,"Springfield, OH"
83899,"Springfield, IL"
83953,"Springfield, MO"
29089,"Fargo, ND"
29440,"Fayetteville, NC"
29494,"Fayetteville--Springdale--Rogers, AR"
29818,"Flagstaff, AZ"
29872,"Flint, MI"
29953,"Florence, AL"
49096,"Leominster--Fitchburg, MA"
51175,"Longmont, CO"
51256,"Longview, TX"
51283,"Longview, WA"
51364,"Lorain--Elyria, OH"
51445,"Los Angeles--Long Beach--Anaheim, CA"
51755,"Louisville/Jefferson County, KY"
73153,"Racine, WI"
73261,"Raleigh, NC"
73396,"Rapid City, SD"
73693,"Reading, PA"
73774,"Redding, CA"
76204,"Rome, GA"
76474,"Round Lake Beach--McHenry--Grayslake, IL"
72112,"Prescott Valley--Prescott, AZ"
72505,"Providence, RI"
72559,"Provo--Orem, UT"
72613,"Pueblo, CO"
30628,"Fort Collins, CO"
30925,"Fort Smith, AR"
30115,"Florida--Imbéry--Barceloneta, PR"
30061,"Florence, SC"
31060,"Fort Walton Beach--Navarre--Wright, FL"
31087,"Fort Wayne, IN"
31150,"Four Corners, FL"
51877,"Lubbock, TX"
52201,"Lynchburg, VA"
52390,"McAllen, TX"
52687,"McKinney, TX"
52822,"Macon, GA"
52984,"Madera, CA"
53200,"Madison, WI"
74179,"Reno, NV"
74746,"Richmond, VA"
31519,"Frederick, MD"
31600,"Fredericksburg, VA"
31843,"Fresno, CA"
32167,"Gainesville, FL"
32194,"Gainesville, GA"
32653,"Gastonia, NC"
53740,"Manchester, NH"
53794,"Mandeville--Covington, LA"
54091,"Mansfield, OH"
54145,"Manteca, CA"
77068,"Sacramento, CA"
77149,"Saginaw, MI"
77230,"St. Augustine, FL"
77338,"St. Cloud, MN"
77446,"St. George, UT"
57466,"Milwaukee, WI"
57628,"Minneapolis--St. Paul, MN"
57709,"Mission Viejo--Lake Forest--San Clemente, CA"
88462,"Trenton, NJ"
88732,"Tucson, AZ"
85087,"Stockton, CA"
33328,"Gilroy--Morgan Hill, CA"
33598,"Glens Falls, NY"
34273,"Grand Junction, CO"
34300,"Grand Rapids, MI"
45235,"Kingsport, TN"
45451,"Kissimmee, FL"
45640,"Knoxville, TN"
45910,"La Crosse, WI"
45937,"Lady Lake--The Villages, FL"
46126,"Lafayette--Louisville--Erie, CO"
46531,"Lake Charles, LA"
57925,"Mobile, AL"
59275,"Morgantown, WV"
77743,"St. Joseph, MO"
77770,"St. Louis, MO"
57736,"Missoula, MT"
75637,"Rochester, MN"
75664,"Rochester, NY"
85708,"Sumter, SC"
