2019 All Students Graduation Rate,2020 All Students Graduation Rate,2021 All Students Graduation Rate
68.7,78.3,75.6
83.3,84,80.5
63.3,66.8,67
84.1,86.2,88.2
87.8,93.3,94.2
89.3,88.6,87.9
69.3,72.5,68.2
50.4,61.5,54
71.2,76.9,71
89.8,88.6,90.7
91.6,90,90.7
100,69.2,76.5
76.2,79,76.2
59.2,41.1,53.3
86.3,87.8,74
90.8,91.1,90.7
70.9,74.6,85.8
91.7,91.2,93.9
85.3,84.8,95.8
93.7,93.2,88.6
96.6,94.4,90.7
80.7,93.5,85
93.7,92.1,84.1
90.5,92.4,93.9
81.7,82,91.2
97.7,95.3,87.1
85.4,89.4,100
93.2,87.3,100
100,94.4,100
87.5,100,
90,100,